segment,anomaly,train,channel,sampling,duration,len,mean,var,std,kurtosis,skew,n_peaks,smooth10_n_peaks,smooth20_n_peaks,diff_peaks,diff2_peaks,diff_var,diff2_var,gaps_squared,len_weighted,var_div_duration,var_div_len
36,0,0,CADC0872,5,345,70,6.805930993240334e-06,1.234426044650811e-11,3.513439973374828e-06,-0.6853289351189162,-0.6987338723279997,2,1,1,21,24,5.297836024111871e-13,1.145877654830593e-12,1725,350,3.578046506234235e-14,1.763465778072587e-13
37,0,1,CADC0872,1,156,168,1.1959632346254478e-05,2.910428044562047e-12,1.7059976683929105e-06,0.03291201218963469,0.9328021122951008,18,2,2,51,54,3.238870447771596e-13,9.211057900229232e-13,156,168,1.8656590029243892e-14,1.7323976455726472e-14
38,0,0,CADC0872,5,775,156,-4.609911752419895e-05,1.0473012987957489e-10,1.023377398028581e-05,-1.0703561261512549,0.4018108576518485,0,0,0,49,53,3.3811940273293243e-13,9.348579561252702e-13,3875,780,1.35135651457516e-13,6.713469864075313e-13
39,1,0,CADC0872,1,317,260,-3.8122613032272922e-06,2.6753392839380926e-10,1.6356464422172944e-05,-0.7538597659787429,0.02044018155438608,1,1,1,1,1,1.666737030088386e-11,3.381434814517288e-11,447,260,8.439556100751081e-13,1.0289766476684971e-12
40,0,1,CADC0872,1,164,165,3.9147634431285627e-05,7.13626439248315e-10,2.6713787437357418e-05,-1.302921100283045,0.012764311227478514,0,1,1,48,49,3.154310475567678e-13,7.921660963874213e-13,164,165,4.351380727123872e-12,4.325008722717061e-12
41,0,1,CADC0872,5,1315,213,3.967972574138141e-06,7.156656097353278e-12,2.675192721534895e-06,-0.2796929966505042,0.8568619660732721,13,2,2,69,75,3.6216875267088107e-13,1.0531107558624905e-12,9475,1065,5.442324028405534e-15,3.3599324400719617e-14
42,0,1,CADC0872,1,19,20,-4.315347254156186e-06,1.918008286282387e-10,1.384921761791036e-05,-1.1164091112843455,-0.2952332577572064,0,0,0,7,6,8.412683521265432e-13,1.7466887511694674e-12,19,20,1.0094780454117826e-11,9.590041431411936e-12
43,0,0,CADC0872,1,193,196,6.58162823642958e-06,6.414919397623451e-11,8.009319195551798e-06,-1.1516689767268948,0.2058624827120174,0,1,1,63,68,3.0694586050638123e-13,8.967979165244644e-13,193,196,3.323792434001788e-13,3.272918060011965e-13
44,1,1,CADC0872,5,1930,387,-1.277784376606217e-05,7.192388191565818e-10,2.6818628211684912e-05,49.685223340782784,-2.1565665372437355,2,1,1,3,4,4.893177429425979e-10,1.0405358556470712e-09,9650,1935,3.726626005992652e-13,1.858498240714682e-12
45,0,0,CADC0872,1,181,182,1.744149962237407e-05,1.6245367822838282e-10,1.2745731765119757e-05,-1.1684544506991845,0.16728224557149338,0,1,1,60,63,3.612748733782194e-13,1.0690118263860762e-12,181,182,8.975341338584686e-13,8.92602627628477e-13
46,1,1,CADC0872,1,249,240,2.270604749365906e-05,4.5892649795811565e-11,6.774411398476739e-06,-1.1761007048081833,-0.08150875023977136,0,1,1,71,71,3.317549675157731e-13,9.337791512733452e-13,849,240,1.8430783050526733e-13,1.9121937414921486e-13
47,0,1,CADC0872,1,125,115,-6.972971000343336e-07,4.58455404278529e-11,6.77093349752107e-06,-1.1847419555775796,0.1469724756468805,0,1,1,35,37,4.0392521632111574e-13,1.1777136206616068e-12,147,115,3.667643234228232e-13,3.986568732856774e-13
48,0,1,CADC0872,1,73,74,-2.5390315498744906e-05,3.021655661446123e-10,1.7382910174784093e-05,-1.1651374368137075,-0.2239619554002409,0,0,0,23,24,4.071620301313476e-13,1.2237991223916323e-12,73,74,4.1392543307481134e-12,4.0833184614136795e-12
49,0,1,CADC0872,5,645,113,1.8242828945103836e-05,4.026673483071433e-11,6.345607522587127e-06,-1.0705145721659555,-0.3794982826594149,0,1,1,33,37,3.089248344626985e-13,8.883437717895858e-13,4075,565,6.24290462491695e-14,3.563427861125162e-13
50,0,0,CADC0872,1,148,158,2.056381689417165e-05,2.0623381739271862e-10,1.4360843199224711e-05,-0.9256870618081878,0.5380058028238975,1,1,1,1,1,2.140156600749045e-11,6.419035575590863e-11,148,158,1.3934717391399907e-12,1.305277325270371e-12
51,0,1,CADC0872,5,585,118,2.3253632791129726e-05,2.7142744559557594e-10,1.6475055253187344e-05,-1.109763796965801,0.28172546736610055,12,1,1,12,20,1.4516161922228411e-10,4.405205545083582e-10,2925,590,4.63978539479617e-13,2.3002325897930166e-12
52,0,1,CADC0872,1,13,14,-1.7524656493248286e-05,2.189939177401657e-10,1.4798443085006129e-05,-1.1780916907214867,-0.06740126816894372,0,0,0,4,3,3.6163071914092014e-13,9.273949323354796e-13,13,14,1.6845685980012747e-11,1.5642422695726122e-11
53,0,1,CADC0872,5,1850,371,-3.7306017034952745e-05,1.1649287277171628e-09,3.413105225036525e-05,-1.0955216341226341,-0.35664107412286633,0,0,0,117,128,4.0876628122211614e-13,1.2526090335974312e-12,9250,1855,6.296912041714393e-13,3.1399696164883097e-12
54,0,1,CADC0872,1,39,40,-1.6210487282340894e-06,3.1093700716211254e-11,5.576172586659353e-06,-1.2141942638328675,0.06237896206928836,0,1,0,11,11,2.7989658602228545e-13,8.085465774249165e-13,39,40,7.972743773387501e-13,7.773425179052813e-13
55,0,1,CADC0872,5,85,18,1.743088337491681e-05,1.4329038391359516e-10,1.1970396146894853e-05,-0.8408682427077285,0.6630288619851551,0,1,1,5,4,2.5167828925576276e-12,3.0353291750132338e-12,425,90,1.6857692225128843e-12,7.96057688408862e-12
56,1,1,CADC0872,1,132,133,-2.2198506142095903e-05,4.1553182888811775e-09,6.446175834462769e-05,0.8213871297793665,-0.07941495964071328,30,11,9,37,39,9.977814028762786e-09,3.3721228134053745e-08,132,133,3.147968400667559e-11,3.1242994653241936e-11
57,1,1,CADC0872,1,126,127,2.201541409169418e-05,1.3817767897631713e-09,3.71722583355272e-05,8.242646707658016,0.706037919787789,8,5,7,10,11,2.7802012871211415e-09,8.240482141217215e-09,126,127,1.0966482458437868e-11,1.0880132202859616e-11
58,0,1,CADC0872,1,79,80,-7.531683952667146e-06,2.197739466863656e-11,4.688005404075017e-06,-1.2651450224204208,0.230430607824246,5,1,0,5,8,1.3837255026830415e-11,3.8545693194121125e-11,79,80,2.781948692232476e-13,2.74717433357957e-13
59,0,0,CADC0872,1,342,296,3.312164123413462e-05,3.174696615163969e-10,1.781767834248887e-05,-0.9520589697166466,0.5368404293319609,0,1,1,95,95,3.268817092899125e-13,9.126601317202085e-13,444,296,9.282738640830319e-13,1.0725326402580976e-12
60,0,0,CADC0872,1,215,226,-8.403758651088156e-06,1.1711968968457377e-10,1.0822185069780214e-05,-0.9067672543184964,-0.5910131780656097,0,0,0,73,82,2.9719274122769466e-13,8.725625580510751e-13,215,226,5.447427427189478e-13,5.182287154184681e-13
61,0,1,CADC0872,1,273,274,-1.552824521096268e-05,3.415733248703207e-10,1.848170243430839e-05,-1.1086096593362815,-0.33156538776820715,0,0,0,84,91,3.816231141353523e-13,1.1464737710269273e-12,273,274,1.2511843401843249e-12,1.2466179739792725e-12
62,0,1,CADC0872,1,260,261,-2.8801714544835655e-05,1.2255326491065622e-10,1.1070377812462238e-05,-1.1989429150516042,-0.03397195046100105,0,0,0,82,87,4.0460623751278316e-13,1.2027800901796408e-12,260,261,4.713587111948316e-13,4.695527391212882e-13
63,0,1,CADC0872,1,201,171,-6.461317591287748e-06,1.7486992443235401e-10,1.3223839247070195e-05,-1.1556038740545396,-0.26805994776050424,0,1,1,55,56,4.2660559984508334e-13,1.3695292263775393e-12,275,171,8.699996240415622e-13,1.02263113703131e-12
64,0,1,CADC0872,1,24,25,4.251924423832042e-05,6.132857296043833e-10,2.476460638904611e-05,-1.1734661050576658,0.013216933756402966,1,1,1,1,1,2.8278761320829897e-10,8.733810877518899e-10,24,25,2.55535720668493e-11,2.453142918417533e-11
65,1,1,CADC0872,5,275,56,1.9809072695287757e-05,9.015073560269475e-09,9.494774120677898e-05,2.8261316146999294,0.9880804210308141,6,3,3,8,8,1.363083269204776e-08,3.475385268481165e-08,1375,280,3.278208567370718e-11,1.6098345643338347e-10
66,1,0,CADC0872,5,1365,274,5.587721845942187e-05,4.486435363397381e-09,6.698085818648028e-05,-1.8020288406235538,0.43108793989068034,13,4,3,14,25,1.933161888534438e-09,5.922841781307841e-09,6825,1370,3.2867658339907555e-12,1.6373851691231318e-11
67,1,1,CADC0872,5,615,124,-1.4663656670450331e-05,4.09131225415401e-09,6.396336650109976e-05,-1.4894740346961584,0.007680656782881101,1,1,1,14,43,1.0768878242728994e-11,8.344125679014646e-13,3075,620,6.652540250656927e-12,3.299445366253234e-11
68,1,1,CADC0872,1,281,223,1.7606154123139785e-06,3.069688447737326e-12,1.7520526384036886e-06,0.3706600848507229,1.1796613729097296,19,2,2,50,54,2.4065242664913286e-13,6.633888207548802e-13,1155,223,1.0924158177001161e-14,1.3765419048149445e-14
69,0,1,CADC0872,1,354,355,2.6347359476763193e-05,2.1576266496099938e-10,1.4688861935527864e-05,-1.1838775993028687,0.14456051804224737,0,1,1,109,124,3.464045509054457e-13,1.0340394487190417e-12,354,355,6.094990535621452e-13,6.077821548197166e-13
70,0,1,CADC0872,1,15,16,2.299206179615e-05,1.616840727309295e-10,1.2715505209425597e-05,-0.6429182950033132,0.9905093212539711,0,1,1,2,2,1.6085809927723667e-11,2.8741702394695975e-11,15,16,1.0778938182061966e-11,1.0105254545683093e-11
71,0,1,CADC0872,1,13,14,1.9145390221582437e-05,9.882395320463996e-11,9.941023750330746e-06,-1.1824622139683378,0.2574513440675085,0,1,1,4,4,5.161294651866063e-13,6.588498130459829e-13,13,14,7.601842554203073e-12,7.058853800331426e-12
72,1,0,CADC0872,5,700,131,-1.0855962616668202e-05,1.4767961243421617e-10,1.2152350078656234e-05,-1.176226873614754,-0.1997339366120541,0,0,0,44,51,3.645298307410247e-13,1.1705135467576845e-12,4350,655,2.109708749060231e-13,1.1273252857573753e-12
73,0,1,CADC0872,1,138,130,-4.968685745421267e-06,7.923034585042324e-11,8.90114295191484e-06,-1.0240528813555343,-0.46860457433409863,0,1,1,42,46,3.119717832364539e-13,9.450150463604917e-13,156,130,5.74132940945096e-13,6.094641988494096e-13
74,0,1,CADC0872,1,167,175,-1.0444451409937425e-05,4.623968177722078e-11,6.799976601225976e-06,-0.3996277020037655,0.9369072638099375,0,0,0,56,57,3.3480941204079104e-13,9.304007057995068e-13,167,175,2.768843220192861e-13,2.6422675301269016e-13
75,0,1,CADC0872,1,150,151,3.316786919199516e-05,2.741469836980753e-10,1.6557384566956077e-05,-1.059324944829435,0.4421428086328361,0,1,1,30,32,6.498431275490785e-13,1.669898326299524e-12,150,151,1.8276465579871686e-12,1.8155429383978497e-12
76,0,1,CADC0872,1,161,137,-1.5060466022399174e-05,5.643177447431074e-12,2.3755372965775707e-06,-0.8435357501310823,-0.5608951198856937,14,0,0,45,45,3.399892060507938e-13,9.959791963744826e-13,213,137,3.505079159895077e-14,4.119107625862098e-14
77,0,1,CADC0872,1,54,55,3.623455193398067e-05,2.2554888327555518e-10,1.5018284964520921e-05,-1.3104983926887515,-0.12952343864241284,0,1,1,9,7,1.941565074446646e-12,4.22005347971805e-12,54,55,4.1768311717695406e-12,4.100888786828276e-12
78,0,1,CADC0872,5,1075,216,-1.4837895881849724e-05,4.3871774643609113e-11,6.623577178806715e-06,-1.1459163491596138,0.2685393334746591,0,0,0,70,73,4.0425046581258586e-13,1.228418702367238e-12,5375,1080,4.081095315684569e-14,2.0311006779448663e-13
79,0,1,CADC0872,1,259,260,3.2009288699542216e-05,1.2927824032809143e-10,1.1370058941276049e-05,-1.2054913995423766,-0.04143017735432269,0,1,1,81,89,3.5827340041862987e-13,1.0709939302741776e-12,259,260,4.99143785050546e-13,4.972240012618901e-13
80,0,1,CADC0872,5,785,158,2.120787535708014e-05,8.305178306727478e-12,2.8818706262994315e-06,0.230721007925752,1.1147064202613004,6,2,2,49,53,3.6237375466387153e-13,1.0216665513279666e-12,3925,790,1.0579844976722902e-14,5.256441966283214e-14
81,1,1,CADC0872,1,381,344,5.960941724859224e-05,3.794377578377492e-10,1.9479162144141342e-05,-1.6236806155256704,-0.3481245790522816,0,1,1,4,3,1.2195536668688637e-12,2.6144385395635106e-12,499,344,9.958996268707328e-13,1.1030167379004338e-12
82,0,1,CADC0872,1,34,35,-3.474506064166305e-05,2.6698031709966796e-10,1.6339532340298725e-05,-1.114792010965886,0.35322884925756093,0,0,0,11,10,4.94806742843016e-13,8.216317205391325e-13,34,35,7.852362267637293e-12,7.628009059990513e-12
83,1,1,CADC0872,1,87,77,-1.4451524732221615e-05,2.4626435217132365e-10,1.5692812118015165e-05,-1.1890488739564053,-0.4495137019790407,0,0,0,10,11,1.5778410192719302e-12,3.290938179790986e-12,109,77,2.830624737601421e-12,3.19823833988732e-12
84,0,0,CADC0872,1,105,93,-3.681675657819461e-05,5.600575174641936e-10,2.3665534379434445e-05,-1.195290393477987,-0.11893120527327204,0,0,0,29,30,3.591988064927702e-13,1.0441665207706687e-12,131,93,5.333881118706606e-12,6.022123843701006e-12
85,0,1,CADC0872,1,49,47,8.311513311205042e-06,1.0639809737399567e-11,3.2618721215583493e-06,-0.998078105152596,-0.45485653252001473,1,1,1,16,16,4.92248072296475e-13,1.5857353047414423e-12,65,47,2.1713897423264424e-13,2.2637893058296952e-13
86,0,0,CADC0872,1,34,34,-1.795586180946239e-06,5.4182225087097206e-11,7.360857632579047e-06,-0.9321189018758296,0.5587469848484997,0,1,0,10,11,4.34826376283701e-13,8.411978371358e-13,36,34,1.593594855502859e-12,1.593594855502859e-12
87,0,1,CADC0872,1,13,14,2.7461463315823244e-05,1.5755527784224316e-10,1.2552102526757943e-05,-1.1005182374199574,0.3719447993131296,0,1,1,5,5,1.3594232388951935e-12,1.9510826913929173e-12,13,14,1.2119636757095628e-11,1.1253948417303083e-11
88,0,0,CADC0872,1,244,245,8.534528347908369e-07,1.6155820603977062e-12,1.2710554906839064e-06,-0.5295471523663302,0.6293460500107487,48,2,1,77,82,5.014071756163093e-13,1.5718011092134538e-12,244,245,6.621237952449616e-15,6.594212491419209e-15
89,0,1,CADC0872,1,249,250,4.08969475211679e-05,3.775373500914359e-10,1.9430320380565934e-05,-1.171362307919277,0.18046319955091003,0,1,1,86,90,3.1279368512132313e-13,9.118431085418455e-13,249,250,1.5162142573953247e-12,1.5101494003657435e-12
90,0,1,CADC0872,1,15,14,-6.7035931689277275e-06,8.116297462332256e-11,9.009049596007481e-06,-0.7995597703217752,-0.9099661310869434,0,0,0,0,1,6.375767263996659e-11,8.537235233782604e-11,19,14,5.4108649748881705e-12,5.797355330237326e-12
91,0,0,CADC0872,5,2175,479,-2.6578039724700667e-06,3.2999583466451846e-11,5.74452639183178e-06,-1.0814608899266935,0.36399347446741165,0,1,1,166,173,3.913174287562113e-13,1.181598539835522e-12,10875,2395,1.5172222283426137e-14,6.889265859384519e-14
92,0,1,CADC0872,5,1000,201,1.392207549013703e-05,8.17972606144804e-11,9.044183800348177e-06,-1.339628097390634,-0.33046101785887266,19,4,2,19,31,8.949878864757823e-11,2.830783564017358e-10,5000,1005,8.17972606144804e-14,4.0695154534567364e-13
93,0,1,CADC0872,1,234,192,3.229191682294764e-05,2.2626314466598362e-10,1.504204589362709e-05,-1.1819551402531032,-0.12654416564835466,0,1,1,58,63,3.545329146605206e-13,1.0316357632539083e-12,320,192,9.669365156665967e-13,1.1784538784686647e-12
94,1,1,CADC0872,1,84,91,-3.442774163687241e-05,7.623177550502541e-10,2.7610102409267774e-05,-0.7157893138097453,-0.8604522520177237,0,0,0,0,1,1.8914494230934554e-11,3.888477425748804e-11,84,91,9.075211369645881e-12,8.377118187365428e-12
95,0,0,CADC0872,5,65,14,-2.2993781576473705e-05,2.1477747257802058e-11,4.634409051626977e-06,-0.46119352811262804,-0.8756157883112997,0,0,0,4,4,9.886021063189032e-13,8.286669619029348e-13,325,70,3.304268808892624e-13,1.5341248041287184e-12
96,0,1,CADC0872,1,416,358,7.219172387676785e-06,1.1011872592857494e-11,3.318414168372823e-06,0.6254853552153454,-0.5695746118182793,39,18,8,37,61,1.9519845747672625e-11,6.217840504692102e-11,534,358,2.647084757898436e-14,3.075942065043993e-14
97,0,0,CADC0872,1,119,120,-1.587107834657885e-05,2.3803705966650944e-10,1.5428449684479302e-05,-1.180120539472051,-0.1466253671064397,0,0,0,40,45,4.63404855541086e-13,1.4682559849480801e-12,119,120,2.0003114257689868e-12,1.9836421638875788e-12
98,0,1,CADC0872,1,309,310,6.673688565789901e-06,1.5955314285933061e-10,1.2631434711042552e-05,-1.1173071753325647,0.2984198863147438,0,1,1,96,101,3.5743176920116006e-13,1.0025335731001731e-12,309,310,5.163532131369922e-13,5.146875576107439e-13
99,0,0,CADC0872,1,13,14,1.911557181120276e-05,1.9513505331765906e-10,1.3969074891261019e-05,-1.210444612632353,0.00934321336584207,0,1,1,2,2,3.7826258019679756e-13,8.99553617903204e-13,13,14,1.5010388716743005e-11,1.3938218094118505e-11
100,0,1,CADC0872,1,154,129,-3.245026749043401e-05,4.1161176379133976e-10,2.0288217363566958e-05,-1.1777108398675127,-0.15458605316455146,0,0,0,42,47,3.204028388362177e-13,9.171827583509708e-13,206,129,2.6728036609827256e-12,3.190788866599533e-12
101,1,1,CADC0872,1,463,464,7.205740470313971e-07,6.5381111676464275e-12,2.5569730478920633e-06,-0.963600791027349,0.44125500134498785,36,1,1,142,159,3.784075899450006e-13,1.1110992295309734e-12,463,464,1.4121190426882132e-14,1.4090756826824197e-14
102,0,1,CADC0872,1,207,212,-3.21630164404566e-05,4.2689672059527925e-10,2.0661479148291374e-05,-1.160416293007178,-0.22303040531316706,0,0,0,60,66,3.0461975038856585e-13,7.969113847085611e-13,207,212,2.0623029980448273e-12,2.0136637763928266e-12
103,0,1,CADC0872,5,525,106,-2.188168538708717e-05,3.00922367333644e-10,1.7347114092368333e-05,-1.183604805730765,-0.13459423966937287,0,0,0,32,35,3.340218527481626e-13,9.09734806280291e-13,2625,530,5.731854615878933e-13,2.838890257864566e-12
104,0,1,CADC0872,1,63,68,3.506726975115045e-05,6.954109222324265e-10,2.6370645085633124e-05,-1.2616493853623927,0.22906138750946778,0,1,1,19,21,4.529178551382205e-13,7.230559555452412e-13,63,68,1.1038268606863913e-11,1.022663120930039e-11
